,State: ALABAMA,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),13916,1866,1122,2137,1889,436,304,2979,2869,27,125,10,7,0,6,139
1,Total,100.0,13.4,8.1,15.4,13.6,3.1,2.2,21.4,20.6,0.2,0.9,0.1,0.1,0.0,0.0,1.0
3,Male,60.0,68.8,69.7,56.6,50.1,63.5,60.9,62.0,57.0,63.0,40.8,60.0,71.4,0.0,16.7,71.9
4,Female,40.0,31.2,30.3,43.4,49.9,36.5,39.1,38.0,43.0,37.0,59.2,40.0,28.6,0.0,83.3,28.1
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
8,12-17 years,6.2,1.2,4.5,0.1,0.4,0.5,0.3,24.1,0.9,14.8,3.2,30.0,14.3,0.0,16.7,14.4
9,18-20 years,3.0,1.0,2.9,1.1,1.2,0.2,2.0,7.9,1.7,0.0,12.0,0.0,0.0,0.0,0.0,5.8
10,21-25 years,10.5,5.9,10.2,8.5,7.1,2.1,7.9,17.2,11.6,7.4,15.2,20.0,14.3,0.0,33.3,8.6
11,26-30 years,16.4,9.4,15.3,20.8,16.3,8.3,13.5,17.3,19.3,14.8,16.0,0.0,14.3,0.0,0.0,12.2
12,31-35 years,16.6,13.3,14.9,21.9,20.4,7.6,16.8,11.4,18.9,22.2,23.2,30.0,0.0,0.0,0.0,25.2
13,36-40 years,15.8,14.1,12.9,21.2,21.0,11.2,16.1,8.7,18.6,22.2,14.4,0.0,28.6,0.0,0.0,13.7
14,41-45 years,10.9,12.5,12.8,12.1,12.7,9.4,18.1,6.1,11.7,3.7,8.0,0.0,28.6,0.0,33.3,11.5
15,46-50 years,7.5,10.9,8.0,5.9,8.2,12.4,9.2,3.6,9.3,7.4,0.0,10.0,0.0,0.0,16.7,1.4
16,51-55 years,5.6,11.6,6.9,4.0,5.8,17.4,6.9,2.0,4.2,0.0,2.4,0.0,0.0,0.0,0.0,2.9
17,56-60 years,4.3,10.5,6.9,2.6,3.2,17.9,5.9,1.0,2.3,7.4,4.0,0.0,0.0,0.0,0.0,2.2
18,61-65 years,2.4,6.4,3.3,1.3,2.8,8.9,2.6,0.7,1.2,0.0,1.6,10.0,0.0,0.0,0.0,0.7
19,66 years and over,1.0,3.1,1.5,0.4,1.2,4.1,0.7,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.4
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
23,White,70.2,61.9,66.0,86.7,84.3,17.9,18.1,51.5,88.8,81.5,80.8,90.0,42.9,0.0,50.0,56.1
24,Black or African-American,26.5,34.0,29.9,10.9,13.3,79.8,80.9,43.9,8.5,14.8,16.8,0.0,57.1,0.0,50.0,41.0
25,American Indian or Alaska Native,0.4,0.4,0.4,0.4,0.4,0.5,0.0,0.3,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0
26,Asian or Native Hawaiian or Other Pacific Islander,0.2,0.2,0.1,0.2,0.1,0.0,0.0,0.3,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0
27,Other,1.6,2.5,2.3,0.8,0.8,1.1,0.3,2.3,1.4,3.7,0.0,0.0,0.0,0.0,0.0,0.7
28,Unknown,1.1,1.0,1.2,1.1,1.2,0.7,0.7,1.6,0.7,0.0,0.8,10.0,0.0,0.0,0.0,2.2
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
31,Hispanic or Latino,1.3,1.9,2.3,0.7,0.5,0.5,0.7,1.9,0.9,3.7,0.0,0.0,0.0,0.0,0.0,1.4
32,Not Hispanic or Latino,98.7,98.1,97.7,99.3,99.5,99.5,99.3,98.1,99.1,96.3,100.0,100.0,100.0,0.0,100.0,98.6
33,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
