,State: MAINE,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),8280,1694,1137,3385,784,186,108,232,385,14,66,10,11,0,1,267
1,Total,100.0,20.5,13.7,40.9,9.5,2.2,1.3,2.8,4.6,0.2,0.8,0.1,0.1,0.0,0.0,3.2
3,Male,60.1,62.9,65.4,58.3,57.8,44.6,54.6,71.6,53.5,78.6,45.5,60.0,72.7,0.0,0.0,64.0
4,Female,39.9,37.1,34.6,41.7,42.2,55.4,45.4,28.4,46.2,21.4,54.5,40.0,27.3,0.0,100.0,36.0
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
8,12-17 years,0.7,0.2,0.8,0.1,0.1,0.0,0.0,14.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.1
9,18-20 years,1.6,1.7,2.3,0.9,1.7,0.5,0.0,9.9,1.3,7.1,6.1,0.0,0.0,0.0,0.0,0.7
10,21-25 years,8.9,6.9,11.5,7.9,6.4,9.1,8.3,23.7,13.0,14.3,15.2,50.0,27.3,0.0,0.0,7.5
11,26-30 years,15.5,10.4,17.5,18.7,10.7,15.1,18.5,14.2,16.4,0.0,13.6,30.0,9.1,0.0,0.0,14.2
12,31-35 years,20.7,12.9,15.2,25.6,22.4,17.2,28.7,11.6,32.7,21.4,12.1,0.0,36.4,0.0,100.0,19.9
13,36-40 years,18.2,13.3,14.3,21.4,24.5,16.7,14.8,8.6,17.9,28.6,27.3,10.0,9.1,0.0,0.0,16.5
14,41-45 years,12.1,11.4,11.5,12.1,15.1,13.4,22.2,6.5,10.9,0.0,9.1,0.0,18.2,0.0,0.0,12.0
15,46-50 years,7.2,10.4,7.8,6.0,7.4,11.3,2.8,3.9,4.2,14.3,3.0,0.0,0.0,0.0,0.0,7.5
16,51-55 years,6.1,11.1,7.7,4.0,5.1,8.6,2.8,2.6,1.6,0.0,7.6,0.0,0.0,0.0,0.0,7.5
17,56-60 years,4.6,10.2,6.5,2.0,5.0,4.8,0.0,2.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
18,61-65 years,2.5,6.0,3.0,1.0,0.9,3.2,0.9,1.7,0.0,14.3,3.0,10.0,0.0,0.0,0.0,4.9
19,66 years and over,1.5,5.1,1.7,0.3,0.8,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5
20,Unknown,0.2,0.3,0.2,0.2,0.0,0.0,0.9,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
23,White,93.7,95.1,92.7,95.2,94.3,87.6,92.6,80.2,93.8,100.0,78.8,80.0,54.5,0.0,100.0,92.1
24,Black or African-American,2.3,1.8,2.9,0.8,1.4,7.5,2.8,15.9,2.6,0.0,6.1,0.0,45.5,0.0,0.0,4.9
25,American Indian or Alaska Native,1.1,0.8,1.1,1.1,1.3,0.5,0.9,2.2,0.5,0.0,12.1,0.0,0.0,0.0,0.0,0.4
26,Asian or Native Hawaiian or Other Pacific Islander,0.8,0.8,0.9,0.9,1.0,0.0,0.0,0.4,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.7
27,Other,1.2,0.8,1.2,1.2,0.9,3.8,3.7,1.3,2.1,0.0,1.5,20.0,0.0,0.0,0.0,0.7
28,Unknown,0.9,0.8,1.2,0.9,1.1,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
31,Hispanic or Latino,1.4,0.8,1.3,1.5,0.8,1.6,1.9,3.0,2.6,0.0,0.0,20.0,9.1,0.0,0.0,1.1
32,Not Hispanic or Latino,98.6,99.0,98.7,98.5,99.0,98.4,98.1,97.0,97.4,100.0,100.0,80.0,90.9,0.0,100.0,98.5
33,Unknown,0.1,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
