,State: MONTANA,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),925,218,308,76,21,0,1,39,254,0,3,0,0,0,0,5
1,Total,100.0,23.6,33.3,8.2,2.3,0.0,0.1,4.2,27.5,0.0,0.3,0.0,0.0,0.0,0.0,0.5
3,Male,59.6,67.4,66.2,63.2,47.6,0.0,100.0,56.4,45.7,0.0,33.3,0.0,0.0,0.0,0.0,40.0
4,Female,40.4,32.6,33.8,36.8,52.4,0.0,0.0,43.6,54.3,0.0,66.7,0.0,0.0,0.0,0.0,60.0
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
8,12-17 years,1.0,0.5,1.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18-20 years,3.4,1.4,2.6,2.6,9.5,0.0,0.0,12.8,3.9,0.0,33.3,0.0,0.0,0.0,0.0,0.0
10,21-25 years,11.5,7.8,11.7,17.1,14.3,0.0,0.0,15.4,11.8,0.0,0.0,0.0,0.0,0.0,0.0,20.0
11,26-30 years,18.7,16.5,16.6,27.6,28.6,0.0,0.0,25.6,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,31-35 years,17.4,17.4,16.2,17.1,9.5,0.0,0.0,12.8,20.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0
13,36-40 years,15.7,11.9,18.2,17.1,23.8,0.0,0.0,7.7,15.4,0.0,33.3,0.0,0.0,0.0,0.0,40.0
14,41-45 years,10.8,11.0,11.0,9.2,9.5,0.0,0.0,2.6,12.2,0.0,33.3,0.0,0.0,0.0,0.0,0.0
15,46-50 years,8.1,7.8,9.1,1.3,4.8,0.0,0.0,7.7,9.4,0.0,0.0,0.0,0.0,0.0,0.0,20.0
16,51-55 years,4.2,6.4,3.9,2.6,0.0,0.0,100.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,56-60 years,5.5,10.1,6.8,2.6,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,61-65 years,2.4,4.6,2.3,1.3,0.0,0.0,0.0,2.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,66 years and over,1.4,4.6,0.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
23,White,68.8,78.4,62.7,76.3,76.2,0.0,0.0,71.8,63.8,0.0,100.0,0.0,0.0,0.0,0.0,100.0
24,Black or African-American,0.8,0.5,0.6,2.6,0.0,0.0,100.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,American Indian or Alaska Native,21.4,15.6,27.3,7.9,14.3,0.0,0.0,20.5,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Asian or Native Hawaiian or Other Pacific Islander,0.4,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Other,5.4,3.2,4.2,9.2,9.5,0.0,0.0,5.1,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Unknown,3.2,1.4,4.9,3.9,0.0,0.0,0.0,2.6,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Total,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
31,Hispanic or Latino,5.4,3.2,4.2,9.2,9.5,0.0,0.0,5.1,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Not Hispanic or Latino,94.6,96.8,95.8,90.8,90.5,0.0,100.0,94.9,92.5,0.0,100.0,0.0,0.0,0.0,0.0,100.0
33,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Total,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
