,State: VIRGINIA,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),17667,2441,2717,2434,1765,768,668,2569,2888,55,105,28,56,104,11,1058
1,Total,100.0,13.8,15.4,13.8,10.0,4.3,3.8,14.5,16.3,0.3,0.6,0.2,0.3,0.6,0.1,6.0
3,Male,61.2,68.7,71.1,58.2,55.3,52.2,65.1,62.1,54.7,67.3,61.9,39.3,73.2,63.5,81.8,53.2
4,Female,38.3,31.0,28.5,41.4,44.2,46.9,34.4,37.8,44.6,32.7,38.1,60.7,26.8,36.5,18.2,44.7
5,Unknown,0.5,0.4,0.4,0.4,0.5,0.9,0.4,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.1
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,1.7,0.4,0.7,0.2,0.2,0.0,0.0,8.0,0.2,3.6,0.0,3.6,1.8,0.0,0.0,4.1
9,18-20 years,3.0,1.3,2.1,1.1,4.2,0.3,0.7,7.9,2.6,1.8,7.6,0.0,10.7,1.0,0.0,4.0
10,21-25 years,9.7,6.1,8.2,8.0,9.7,2.9,6.1,18.5,10.0,12.7,22.9,10.7,7.1,3.8,9.1,10.6
11,26-30 years,17.0,11.5,16.3,20.5,16.4,7.4,13.6,20.1,19.9,20.0,20.0,25.0,21.4,14.4,27.3,17.1
12,31-35 years,18.4,14.2,16.6,23.3,21.5,9.6,18.9,17.0,21.4,16.4,11.4,21.4,44.6,24.0,0.0,16.4
13,36-40 years,14.7,12.2,15.3,16.1,18.7,9.9,15.9,11.1,17.0,21.8,15.2,14.3,8.9,14.4,9.1,14.7
14,41-45 years,11.0,12.8,10.8,10.6,11.7,12.6,13.6,6.8,12.6,16.4,6.7,3.6,0.0,15.4,36.4,11.0
15,46-50 years,7.9,10.5,8.3,6.7,7.5,11.8,10.6,4.0,8.2,3.6,6.7,7.1,1.8,13.5,9.1,7.8
16,51-55 years,6.9,10.9,8.6,5.5,4.8,20.4,10.9,2.8,4.2,1.8,3.8,0.0,1.8,6.7,0.0,5.3
17,56-60 years,5.4,10.4,7.3,4.2,2.6,16.1,6.3,2.2,2.5,1.8,1.9,10.7,0.0,3.8,9.1,4.9
18,61-65 years,2.9,6.0,4.2,2.7,1.9,6.4,2.7,1.3,1.1,0.0,1.9,0.0,1.8,2.9,0.0,1.6
19,66 years and over,1.3,3.6,1.5,0.9,0.8,2.5,0.6,0.2,0.2,0.0,1.9,3.6,0.0,0.0,0.0,2.2
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,63.4,58.3,58.6,67.1,76.0,26.8,37.3,51.1,90.3,61.8,84.8,71.4,33.9,16.3,72.7,61.0
24,Black or African-American,24.3,21.7,29.4,24.7,12.2,63.3,50.7,33.6,3.9,18.2,4.8,10.7,26.8,71.2,9.1,22.5
25,American Indian or Alaska Native,0.2,0.2,0.1,0.0,0.1,0.1,1.0,0.3,0.2,3.6,0.0,0.0,0.0,1.0,0.0,0.5
26,Asian or Native Hawaiian or Other Pacific Islander,0.7,1.1,0.8,0.6,0.8,1.0,0.3,1.1,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.3
27,Other,4.7,11.1,5.5,2.3,4.5,3.6,3.9,4.9,1.3,7.3,3.8,14.3,5.4,7.7,0.0,2.8
28,Unknown,6.7,7.7,5.6,5.3,6.2,5.1,6.7,9.1,3.8,9.1,5.7,3.6,33.9,3.8,18.2,12.9
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,6.7,13.8,8.2,4.4,6.3,3.3,6.4,7.6,2.3,9.1,2.9,0.0,8.9,5.8,18.2,4.4
32,Not Hispanic or Latino,87.1,77.8,86.5,90.8,88.5,92.2,87.9,86.4,92.6,89.1,93.3,100.0,62.5,89.4,81.8,82.0
33,Unknown,6.2,8.3,5.3,4.8,5.2,4.6,5.7,6.0,5.1,1.8,3.8,0.0,28.6,4.8,0.0,13.5
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
